dataset,pooling,learning_rate,feature_dim,n_seeds,train_accuracy_mean,train_accuracy_std,train_f1_score_mean,train_f1_score_std,train_auc_mean,train_auc_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,test_accuracy_mean,test_accuracy_std,test_f1_score_mean,test_f1_score_std,test_auc_mean,test_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
rsna-features_resnet18,attention,0.000100,64,5,0.882250,0.022403,0.861083,0.024753,0.942784,0.017918,0.838538,0.037759,0.885714,0.024935,0.818667,0.020221,0.806396,0.021967,0.877244,0.012742,0.831291,0.054730,0.788889,0.063191
rsna-features_resnet18,attention,0.000100,128,5,0.887250,0.012068,0.864485,0.014786,0.945197,0.008467,0.854792,0.018278,0.874772,0.022685,0.825333,0.012824,0.816294,0.017950,0.889316,0.007162,0.825756,0.039487,0.811111,0.056928
rsna-features_resnet18,attention,0.001000,64,5,0.851000,0.018758,0.821821,0.019284,0.920454,0.014351,0.811019,0.037997,0.834043,0.020116,0.824000,0.010111,0.819859,0.014511,0.879665,0.009107,0.805295,0.012664,0.836111,0.038540
rsna-features_resnet18,attention,0.001000,128,5,0.840000,0.015885,0.808050,0.014270,0.910549,0.008091,0.800109,0.037306,0.817629,0.021600,0.810667,0.013824,0.805347,0.015584,0.876674,0.006631,0.795060,0.018146,0.816667,0.030110
rsna-features_resnet18,max,0.000100,64,5,0.949000,0.035810,0.938538,0.043054,0.981811,0.016983,0.932611,0.046916,0.944681,0.040518,0.846667,0.016330,0.837219,0.017289,0.901460,0.013995,0.855433,0.037211,0.822222,0.042127
rsna-features_resnet18,max,0.000100,128,5,0.961500,0.017262,0.953482,0.021188,0.987763,0.009683,0.945567,0.017275,0.961702,0.028481,0.850667,0.015348,0.840422,0.015409,0.908476,0.009007,0.865366,0.041881,0.819444,0.039284
rsna-features_resnet18,max,0.001000,64,5,0.885250,0.055737,0.864026,0.065809,0.940868,0.037191,0.843563,0.066611,0.885714,0.066544,0.820000,0.020548,0.814983,0.027270,0.876175,0.015505,0.804519,0.035762,0.830556,0.070410
rsna-features_resnet18,max,0.001000,128,5,0.893000,0.031506,0.871688,0.035108,0.952677,0.020486,0.867127,0.062403,0.878419,0.030166,0.848000,0.014453,0.843328,0.015121,0.893447,0.013534,0.835529,0.029154,0.852778,0.034861
rsna-features_resnet18,mean,0.000100,64,5,0.847250,0.006926,0.813761,0.007830,0.920030,0.004606,0.816631,0.018955,0.811550,0.020615,0.844000,0.005963,0.828878,0.010208,0.909437,0.003152,0.877390,0.041299,0.788889,0.048512
rsna-features_resnet18,mean,0.000100,128,5,0.855000,0.006435,0.827766,0.005299,0.928508,0.001194,0.810714,0.029115,0.847416,0.032905,0.841333,0.005578,0.833882,0.008028,0.914779,0.001827,0.838733,0.022431,0.830556,0.034583
rsna-features_resnet18,mean,0.001000,64,5,0.857000,0.014593,0.825631,0.018228,0.926741,0.009443,0.828262,0.022975,0.823708,0.029391,0.848000,0.012824,0.838942,0.018957,0.912927,0.006996,0.852116,0.013458,0.827778,0.046688
rsna-features_resnet18,mean,0.001000,128,5,0.860250,0.010361,0.831272,0.013092,0.929922,0.007419,0.826041,0.023305,0.837690,0.031338,0.848000,0.009888,0.837526,0.016529,0.914601,0.006387,0.860210,0.032457,0.819444,0.055556
